title,thumbnail,score,link
Taishou Otome Otogibanashi,https://voiranime.com/wp-content/uploads/2021/09/thumb_61435b64d68d6-110x150.jpg,4.3,https://voiranime.com/anime/taishou-otome-otogibanashi/
Made in Abyss (VF),https://voiranime.com/wp-content/uploads/2020/01/thumb_5e107ff998880-110x150.jpg,4.3,https://voiranime.com/anime/made-in-abyss-vf/
Hanyou no Yashahime 2,https://voiranime.com/wp-content/uploads/2021/09/thumb_61435b4fd0467-110x150.jpg,3.8,https://voiranime.com/anime/hanyou-no-yashahime-ni-no-shou/
Dragon Quest: Dai no Daibouken (2020),https://voiranime.com/wp-content/uploads/2020/09/thumb_5f73688b2bc00-110x150.jpg,4.1,https://voiranime.com/anime/dragon-quest-dai-no-daibouken-2020/
Blue Period,https://voiranime.com/wp-content/uploads/2021/10/thumb_61597b0640b83-110x150.jpg,4.4,https://voiranime.com/anime/blue-period/
Visual Prison,https://voiranime.com/wp-content/uploads/2021/09/thumb_61435b6265c3e-110x150.jpg,3.8,https://voiranime.com/anime/visual-prison/
Selection Project,https://voiranime.com/wp-content/uploads/2021/09/thumb_61435b4cca0ae-110x150.jpg,4.1,https://voiranime.com/anime/selection-project/
"Komi-san wa, Komyushou desu.",https://voiranime.com/wp-content/uploads/2021/09/thumb_61435b602c9c8-110x150.jpg,4.2,https://voiranime.com/anime/komi-san-wa-komyushou-desu/
Sakugan!! (VF),https://voiranime.com/wp-content/uploads/2021/09/thumb_61435b5ead243-110x150.jpg,3.9,https://voiranime.com/anime/sakugan-vf/
Platinum End,https://voiranime.com/wp-content/uploads/2021/09/thumb_61435b60e7d37-110x150.jpg,4.1,https://voiranime.com/anime/platinum-end/
Platinum End (VF),https://voiranime.com/wp-content/uploads/2021/09/thumb_61435b60e7d37-110x150.jpg,4.2,https://voiranime.com/anime/platinum-end-vf/
The Demonic King Who Chases His Wife 3,https://voiranime.com/wp-content/uploads/2021/10/thumb_6171f49f0ca7e-110x150.png,3.8,https://voiranime.com/anime/the-demonic-king-who-chases-his-wife-3/
"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru (VF)",https://voiranime.com/wp-content/uploads/2021/09/thumb_61435b5dd2c15-110x150.jpg,4.4,https://voiranime.com/anime/sekai-saikou-no-ansatsusha-isekai-kizoku-ni-tensei-suru-vf/
Scarlet Nexus,https://voiranime.com/wp-content/uploads/2021/06/thumb_60c5bf803d4b6-110x150.png,4,https://voiranime.com/anime/scarlet-nexus/
Sakugan!!,https://voiranime.com/wp-content/uploads/2021/09/thumb_61435b5ead243-110x150.jpg,4.3,https://voiranime.com/anime/sakugan/
Ousama Ranking,https://voiranime.com/wp-content/uploads/2021/09/thumb_61435b6b89669-110x150.jpg,4.3,https://voiranime.com/anime/ousama-ranking/
Ousama Ranking (VF),https://voiranime.com/wp-content/uploads/2021/09/thumb_61435b6b89669-110x150.jpg,4,https://voiranime.com/anime/ousama-ranking-vf/
Obey Me!,https://voiranime.com/wp-content/uploads/2021/08/thumb_6113cabd2f02d-110x150.jpg,4,https://voiranime.com/anime/obey-me/
Muv-Luv Alternative,https://voiranime.com/wp-content/uploads/2021/09/thumb_61435b5f6f8b0-110x150.jpg,3.7,https://voiranime.com/anime/muv-luv-alternative/
Maiko-san Chi no Makanai-san,https://voiranime.com/wp-content/uploads/2021/02/thumb_6037180d4540c-110x150.jpg,3.5,https://voiranime.com/anime/maiko-san-chi-no-makanai-san/
Drowning Sorrows in Raging Fire,https://voiranime.com/wp-content/uploads/2021/10/thumb_616887ad720f5-110x150.png,3.6,https://voiranime.com/anime/drowning-sorrows-in-raging-fire/
Are you OK,https://voiranime.com/wp-content/uploads/2021/10/thumb_6168ae79726e1-110x150.png,3,https://voiranime.com/anime/are-you-ok/
Shin no Nakama,https://voiranime.com/wp-content/uploads/2021/09/thumb_61435b5d1ba37-110x150.jpg,4.1,https://voiranime.com/anime/shin-no-nakama-janai-to-yuusha-no-party-wo-oidasareta-node-henkyou-de-slow-life-suru-koto-ni-shimashita/
"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",https://voiranime.com/wp-content/uploads/2021/09/thumb_61435b5dd2c15-110x150.jpg,4.3,https://voiranime.com/anime/sekai-saikou-no-ansatsusha-isekai-kizoku-ni-tensei-suru/
Puraore!: Pride of Orange,https://voiranime.com/wp-content/uploads/2021/09/thumb_61435b5c72d33-110x150.jpg,3.8,https://voiranime.com/anime/puraore-pride-of-orange/
